2019-12-27 10:26:40.101 | INFO     | __main__:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:40.167 | INFO     | __main__:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:40.199 | INFO     | __main__:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:40.236 | INFO     | __main__:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:40.264 | INFO     | __main__:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:51.723 | INFO     | cut:AlgorithmInitModle:229 - python: GPUID received: 0
2019-12-27 10:26:51.723 | INFO     | cut:AlgorithmInitModle:230 - logPath received: log/cut.log
2019-12-27 10:26:55.723 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:55.800 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:55.893 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:55.956 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:56.039 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:56.123 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:56.207 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:56.280 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:56.364 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:56.437 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:56.520 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:56.593 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:56.676 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:56.760 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:56.843 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:56.916 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:56.999 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:57.081 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:57.164 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:57.237 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:57.320 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:57.403 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:57.476 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:57.559 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:57.642 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:57.715 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:57.798 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:57.881 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:57.964 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:58.037 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:26:58.120 | INFO     | cut:AlgorithmRun:241 - ----start detection----
2019-12-27 10:33:35.291 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-27 10:33:35.291 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-27 10:37:04.671 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-27 10:37:04.671 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
2019-12-27 10:40:32.370 | INFO     | loguru._logger:catch_wrapper:1010 - python: GPUID received: 0
2019-12-27 10:40:32.371 | INFO     | loguru._logger:catch_wrapper:1010 - logPath received: log/cut.log
